dname1,dname2,date,value,unit
新竹縣,鵝,88,28315,隻
新竹縣,鵝,89,24717,隻
新竹縣,鵝,90,26358,隻
新竹縣,鵝,91,25327,隻
新竹縣,鵝,92,27837,隻
新竹縣,鵝,93,14628,隻
新竹縣,鵝,94,13644.521,隻
新竹縣,鵝,95,7243,隻
新竹縣,鵝,96,8965,隻
新竹縣,鵝,97,8685,隻
新竹縣,鵝,98,8490,隻
新竹縣,鵝,99,6297,隻
新竹縣,鵝,100,6677,隻
新竹縣,鵝,101,7362,隻
新竹縣,鵝,102,6616,隻
新竹縣,鵝,103,8808,隻
新竹縣,火雞,85,2000,隻
新竹縣,火雞,86,3000,隻
新竹縣,火雞,87,3000,隻
新竹縣,火雞,88,2725,隻
新竹縣,火雞,89,2171,隻
新竹縣,火雞,90,1958,隻
新竹縣,火雞,91,1896,隻
新竹縣,火雞,92,1739,隻
新竹縣,火雞,93,1004,隻
新竹縣,火雞,94,1522.5,隻
新竹縣,火雞,95,0,隻
新竹縣,火雞,96,0,隻
新竹縣,火雞,97,0,隻
新竹縣,火雞,98,0,隻
新竹縣,火雞,99,0,隻
新竹縣,雞,104,14012169,隻
新竹縣,雞,105,12819849,隻
新竹縣,雞,106,13164145,隻
新竹縣,雞,107,12773665,隻
新竹縣,雞,108,12359902,隻
新竹縣,雞,109,15670757,隻
新竹縣,鴨,104,31301,隻
新竹縣,鴨,105,9185,隻
新竹縣,鴨,106,9971,隻
新竹縣,鴨,107,12077,隻
新竹縣,鴨,108,8120,隻
新竹縣,鴨,109,5979,隻
新竹縣,鵝,104,897,隻
新竹縣,鵝,105,201,隻
新竹縣,鵝,106,808,隻
新竹縣,鵝,107,442,隻
新竹縣,鵝,108,1215,隻
新竹縣,鵝,109,561,隻
新竹縣,火雞,104,0,隻
新竹縣,火雞,105,4,隻
新竹縣,火雞,106,0,隻
新竹縣,火雞,107,3,隻
新竹縣,火雞,108,5,隻
新竹縣,火雞,109,3,隻
苗栗縣,雞,85,13241000,隻
苗栗縣,雞,86,14440000,隻
苗栗縣,雞,87,14006000,隻
苗栗縣,雞,88,14472241,隻
苗栗縣,雞,89,13266058,隻
苗栗縣,雞,90,13650351,隻
苗栗縣,雞,91,13179357,隻
苗栗縣,雞,92,16873065,隻
苗栗縣,雞,93,16359878,隻
苗栗縣,雞,94,14753765.45,隻
苗栗縣,雞,95,11077422,隻
苗栗縣,雞,96,11040954,隻
苗栗縣,雞,97,10150423,隻
苗栗縣,雞,98,10970093,隻
苗栗縣,雞,99,10460252,隻
苗栗縣,雞,100,9550848,隻
苗栗縣,雞,101,10040381,隻
苗栗縣,雞,102,10277428,隻
苗栗縣,雞,103,10459040,隻
苗栗縣,鴨,85,580000,隻
苗栗縣,鴨,86,527000,隻
苗栗縣,鴨,87,572000,隻
苗栗縣,鴨,88,493576,隻
苗栗縣,鴨,89,472808,隻
苗栗縣,鴨,90,474045,隻
苗栗縣,鴨,91,495638,隻
苗栗縣,鴨,92,479364,隻
苗栗縣,鴨,93,429988,隻
苗栗縣,鴨,94,319931.76,隻
苗栗縣,鴨,95,31612,隻
苗栗縣,鴨,96,26985,隻
苗栗縣,鴨,97,23613,隻
苗栗縣,鴨,98,17243,隻
苗栗縣,鴨,99,14367,隻
苗栗縣,鴨,100,13720,隻
苗栗縣,鴨,101,14891,隻
苗栗縣,鴨,102,18261,隻
苗栗縣,鴨,103,21698,隻
苗栗縣,鵝,85,115000,隻
苗栗縣,鵝,86,125000,隻
苗栗縣,鵝,87,150000,隻
苗栗縣,鵝,88,112610,隻
苗栗縣,鵝,89,87190,隻
苗栗縣,鵝,90,111505,隻
苗栗縣,鵝,91,95103,隻
苗栗縣,鵝,92,84510,隻
苗栗縣,鵝,93,74637,隻
苗栗縣,鵝,94,57108.7,隻
苗栗縣,鵝,95,30958,隻
苗栗縣,鵝,96,24180,隻
苗栗縣,鵝,97,19271,隻
苗栗縣,鵝,98,36435,隻
苗栗縣,鵝,99,32016,隻
苗栗縣,鵝,100,32312,隻
苗栗縣,鵝,101,28816,隻
苗栗縣,鵝,102,18672,隻
苗栗縣,鵝,103,42366,隻
苗栗縣,火雞,85,8000,隻
苗栗縣,火雞,86,8000,隻
苗栗縣,火雞,87,8000,隻
苗栗縣,火雞,88,7088,隻
苗栗縣,火雞,89,6517,隻
苗栗縣,火雞,90,6506,隻
苗栗縣,火雞,91,6740,隻
苗栗縣,火雞,92,6519,隻
苗栗縣,火雞,93,4134,隻
苗栗縣,火雞,94,3416.7,隻
苗栗縣,火雞,95,0,隻
苗栗縣,火雞,96,3,隻
苗栗縣,火雞,97,1,隻
苗栗縣,火雞,98,9,隻
苗栗縣,火雞,99,11,隻
苗栗縣,火雞,100,0,隻
苗栗縣,火雞,101,0,隻
苗栗縣,火雞,102,0,隻
苗栗縣,火雞,103,0,隻
苗栗縣,雞,104,8701917,隻
苗栗縣,雞,105,9646389,隻
苗栗縣,雞,106,9249090,隻
苗栗縣,雞,107,8881867,隻
苗栗縣,雞,108,9325026,隻
苗栗縣,雞,109,9943593,隻
苗栗縣,鴨,104,17950,隻
苗栗縣,鴨,105,13533,隻
苗栗縣,鴨,106,9832,隻
苗栗縣,鴨,107,7827,隻
苗栗縣,鴨,108,11409,隻
